,0,1,accuracy,macro avg,weighted avg
precision,0.9,0.8194444444444444,0.8431372549019608,0.8597222222222223,0.8510348583877996
recall,0.675,0.9516129032258065,0.8431372549019608,0.8133064516129033,0.8431372549019608
f1-score,0.7714285714285714,0.8805970149253732,0.8431372549019608,0.8260127931769723,0.8377858606129018
support,40.0,62.0,0.8431372549019608,102.0,102.0
