,0,1,accuracy,macro avg,weighted avg
precision,0.9893617021276596,0.9819494584837545,0.9838274932614556,0.985655580305707,0.9839074096349747
recall,0.9489795918367347,0.9963369963369964,0.9838274932614556,0.9726582940868655,0.9838274932614556
f1-score,0.96875,0.9890909090909091,0.9838274932614556,0.9789204545454546,0.9837178387650086
support,98.0,273.0,0.9838274932614556,371.0,371.0
