,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.8560606060606061,0.8895348837209303,0.928030303030303,0.9054351656095843
recall,0.6779661016949152,1.0,0.8895348837209303,0.8389830508474576,0.8895348837209303
f1-score,0.8080808080808081,0.9224489795918368,0.8895348837209303,0.8652648938363224,0.8832180370386351
support,59.0,113.0,0.8895348837209303,172.0,172.0
