,0,1,accuracy,macro avg,weighted avg
precision,0.9710144927536232,0.9378238341968912,0.9465648854961832,0.9544191634752572,0.947831704525066
recall,0.8481012658227848,0.9890710382513661,0.9465648854961832,0.9185861520370755,0.9465648854961832
f1-score,0.9054054054054054,0.9627659574468086,0.9465648854961832,0.9340856814261069,0.9454702184724922
support,79.0,183.0,0.9465648854961832,262.0,262.0
